other vegetables,pip fruit,whole milk,sausage,Instant food products,pork,margarine,whipped/sour cream,specialty chocolate,herbs,butter,napkins,cake bar,frozen meals,fruit/vegetable juice,,,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,chicken,yogurt,whole milk,root vegetables,onions,packaged fruit/vegetables,rolls/buns,pasta,white bread,,,,,,,,,,,,,,,,
hamburger meat,chicken,tropical fruit,prosecco,yogurt,frozen vegetables,brown bread,dessert,candy,whole milk,,,,,,,,,,,,,,,,
beef,citrus fruit,whole milk,dessert,bottled water,other vegetables,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,napkins,rolls/buns,sliced cheese,whole milk,chocolate marshmallow,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,curd,,,,,,,,,,,,,,,,,,,,,,
chicken,fruit/vegetable juice,root vegetables,onions,specialty chocolate,yogurt,butter,Instant food products,,,,,,,,,,,,,,,,,,
whole milk,pork,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,
sweet spreads,curd,pip fruit,butter,soda,,,,,,,,,,,,,,,,,,,,,
rolls/buns,condensed milk,tropical fruit,whole milk,soda,,,,,,,,,,,,,,,,,,,,,
butter,frankfurter,white bread,specialty bar,whole milk,herbs,candy,margarine,,,,,,,,,,,,,,,,,,
meat,UHT-milk,whipped/sour cream,house keeping products,pasta,waffles,whole milk,other vegetables,hygiene articles,yogurt,beverages,dishes,cat food,,,,,,,,,,,,,
fish,tropical fruit,other vegetables,pork,hamburger meat,soda,red/blush wine,rolls/buns,cream cheese ,popcorn,coffee,bottled beer,dishes,shopping bags,frozen vegetables,female sanitary products,,,,,,,,,,
butter milk,pork,frankfurter,other vegetables,yogurt,butter,bottled water,chicken,soda,beef,root vegetables,whipped/sour cream,shopping bags,margarine,dog food,chewing gum,beverages,hamburger meat,whole milk,grapes,coffee,soft cheese,detergent,,,
hamburger meat,chicken,waffles,soda,whole milk,other vegetables,pastry,frozen vegetables,rolls/buns,sugar,,,,,,,,,,,,,,,,
frankfurter,photo/film,bottled beer,citrus fruit,other vegetables,oil,margarine,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,
bottled water,yogurt,pork,newspapers,soda,white wine,,,,,,,,,,,,,,,,,,,,
pip fruit,whipped/sour cream,ham,other vegetables,meat spreads,whole milk,,,,,,,,,,,,,,,,,,,,
soda,tropical fruit,domestic eggs,UHT-milk,salty snack,sliced cheese,pickled vegetables,,,,,,,,,,,,,,,,,,,
root vegetables,sausage,yogurt,chicken,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,
sausage,salty snack,dessert,cling film/bags,spread cheese,,,,,,,,,,,,,,,,,,,,,
whole milk,tropical fruit,soda,whipped/sour cream,beef,beverages,root vegetables,Instant food products,fruit/vegetable juice,hard cheese,chocolate,dessert,bottled beer,margarine,,,,,,,,,,,,
other vegetables,tropical fruit,yogurt,ham,whole milk,butter,whipped/sour cream,sauces,long life bakery product,white bread,ketchup,shopping bags,frozen fruits,,,,,,,,,,,,,
rolls/buns,whole milk,candy,citrus fruit,,,,,,,,,,,,,,,,,,,,,,
long life bakery product,root vegetables,cream cheese ,whole milk,rolls/buns,other vegetables,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,red/blush wine,hamburger meat,tropical fruit,dessert,frozen fish,soda,rolls/buns,whole milk,long life bakery product,rum,,,,,,,,,,,,,,
root vegetables,whole milk,bottled beer,other vegetables,oil,shopping bags,,,,,,,,,,,,,,,,,,,,
hamburger meat,rolls/buns,whole milk,tropical fruit,pork,coffee,chocolate,,,,,,,,,,,,,,,,,,,
pork,soda,spread cheese,yogurt,,,,,,,,,,,,,,,,,,,,,,
bottled beer,tropical fruit,brown bread,pork,sliced cheese,dishes,fruit/vegetable juice,rolls/buns,salt,domestic eggs,,,,,,,,,,,,,,,,
citrus fruit,red/blush wine,cream cheese ,newspapers,,,,,,,,,,,,,,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,canned beer,other vegetables,,,,,,,,,,,,,,,,,,,,,,
pip fruit,finished products,curd,yogurt,brown bread,prosecco,bottled water,salt,dishes,domestic eggs,,,,,,,,,,,,,,,,
misc. beverages,fruit/vegetable juice,semi-finished bread,instant coffee,flower (seeds),ketchup,oil,detergent,shopping bags,candy,,,,,,,,,,,,,,,,
frankfurter,pip fruit,citrus fruit,UHT-milk,bottled water,rolls/buns,frozen meals,fruit/vegetable juice,canned fish,dishes,,,,,,,,,,,,,,,,
ham,frankfurter,sausage,chicken,whole milk,butter,bottled water,brown bread,coffee,,,,,,,,,,,,,,,,,
tropical fruit,rolls/buns,canned beer,other vegetables,white bread,pastry,soda,root vegetables,butter,brown bread,pasta,artif. sweetener,,,,,,,,,,,,,,
frankfurter,curd,chicken,white bread,rolls/buns,soda,coffee,,,,,,,,,,,,,,,,,,,
rolls/buns,red/blush wine,onions,bottled water,sweet spreads,napkins,,,,,,,,,,,,,,,,,,,,
root vegetables,frozen vegetables,canned beer,pet care,soda,,,,,,,,,,,,,,,,,,,,,
coffee,other vegetables,specialty bar,tropical fruit,frankfurter,butter milk,newspapers,yogurt,whole milk,bottled beer,beverages,pastry,baking powder,,,,,,,,,,,,,
beef,bottled water,margarine,hygiene articles,other vegetables,,,,,,,,,,,,,,,,,,,,,
pork,hamburger meat,specialty chocolate,sliced cheese,whole milk,soda,bathroom cleaner,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,citrus fruit,shopping bags,yogurt,soda,newspapers,,,,,,,,,,,,,,,,,,,
rolls/buns,other vegetables,beef,canned beer,ice cream,citrus fruit,soda,curd,herbs,whipped/sour cream,butter,margarine,,,,,,,,,,,,,,
sausage,herbs,soda,other vegetables,ham,whole milk,coffee,pip fruit,pot plants,beverages,flower (seeds),white bread,berries,specialty chocolate,chocolate,cake bar,jam,,,,,,,,,
tropical fruit,whole milk,yogurt,meat,other vegetables,hard cheese,berries,domestic eggs,baking powder,,,,,,,,,,,,,,,,,
yogurt,sauces,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,sausage,whisky,beef,specialty chocolate,whole milk,dishes,yogurt,napkins,detergent,pastry,,,,,,,,,,,,,,,
frankfurter,rolls/buns,photo/film,root vegetables,soda,grapes,bottled beer,sausage,yogurt,other vegetables,salty snack,shopping bags,specialty bar,Instant food products,domestic eggs,bottled water,newspapers,frozen vegetables,,,,,,,,
dessert,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,pasta,chocolate marshmallow,hamburger meat,whole milk,misc. beverages,soda,root vegetables,other vegetables,detergent,brown bread,newspapers,waffles,salty snack,flour,,,,,,,,,,
packaged fruit/vegetables,bottled water,yogurt,pickled vegetables,pork,domestic eggs,shopping bags,flour,,,,,,,,,,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,frankfurter,whole milk,whipped/sour cream,shopping bags,sausage,hard cheese,soda,curd,root vegetables,bottled water,cake bar,,,,,,,,,,,,,,
tropical fruit,canned beer,grapes,root vegetables,rolls/buns,citrus fruit,yogurt,frankfurter,frozen vegetables,specialty chocolate,napkins,other vegetables,bottled water,shopping bags,hard cheese,whole milk,dessert,candy,cat food,,,,,,,
spread cheese,root vegetables,pip fruit,pork,instant coffee,brown bread,,,,,,,,,,,,,,,,,,,,
soda,hygiene articles,grapes,hamburger meat,whole milk,pudding powder,butter milk,butter,pasta,yogurt,,,,,,,,,,,,,,,,
rolls/buns,whole milk,brown bread,other vegetables,processed cheese,sparkling wine,whipped/sour cream,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,root vegetables,white bread,beverages,frozen vegetables,detergent,candy,brown bread,white wine,,,,,,,,,,,,,,,,
ice cream,cream,chicken,waffles,herbs,yogurt,pastry,hygiene articles,candles,tea,,,,,,,,,,,,,,,,
pork,yogurt,domestic eggs,other vegetables,whole milk,rolls/buns,herbs,root vegetables,,,,,,,,,,,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,other vegetables,white bread,,,,,,,,,,,,,,,,,,,,
citrus fruit,liver loaf,chicken,beef,shopping bags,onions,misc. beverages,rolls/buns,spread cheese,specialty fat,newspapers,whole milk,pastry,semi-finished bread,,,,,,,,,,,,
brown bread,pastry,salty snack,frozen potato products,whole milk,canned beer,specialty cheese,whipped/sour cream,shopping bags,grapes,oil,,,,,,,,,,,,,,,
citrus fruit,curd,pip fruit,chocolate,frozen vegetables,sugar,salty snack,margarine,whole milk,pastry,,,,,,,,,,,,,,,,
whole milk,pastry,ham,baking powder,bottled water,soda,margarine,butter,yogurt,chocolate,salty snack,pickled vegetables,curd,dishes,liquor,,,,,,,,,,,
beef,bottled water,whole milk,semi-finished bread,flour,frozen vegetables,sugar,other vegetables,soda,UHT-milk,whipped/sour cream,,,,,,,,,,,,,,,
dish cleaner,ice cream,jam,newspapers,,,,,,,,,,,,,,,,,,,,,,
pork,bottled beer,curd,whole milk,pudding powder,specialty bar,canned beer,yogurt,baking powder,domestic eggs,newspapers,,,,,,,,,,,,,,,
misc. beverages,dog food,chicken,sausage,chocolate,root vegetables,UHT-milk,dessert,shopping bags,brown bread,citrus fruit,white bread,salty snack,,,,,,,,,,,,,
other vegetables,whipped/sour cream,turkey,yogurt,butter,root vegetables,,,,,,,,,,,,,,,,,,,,
frankfurter,chicken,newspapers,other vegetables,cream cheese ,white bread,brown bread,rolls/buns,bottled water,liquor,root vegetables,beverages,zwieback,butter milk,napkins,soda,canned vegetables,hard cheese,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,
whole milk,ham,house keeping products,pip fruit,bottled beer,berries,hair spray,rolls/buns,butter,yogurt,pickled vegetables,processed cheese,frozen vegetables,condensed milk,pastry,curd,canned beer,sliced cheese,,,,,,,,
grapes,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
pastry,meat,citrus fruit,soda,other vegetables,condensed milk,UHT-milk,tropical fruit,rice,brown bread,newspapers,specialty bar,white bread,sugar,chocolate marshmallow,,,,,,,,,,,
coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,root vegetables,chicken,citrus fruit,frozen vegetables,dishes,,,,,,,,,,,,,,,,,,,,
pork,frozen vegetables,pip fruit,rolls/buns,soda,whole milk,oil,yogurt,canned vegetables,cling film/bags,,,,,,,,,,,,,,,,
yogurt,soda,bottled beer,hygiene articles,,,,,,,,,,,,,,,,,,,,,,
popcorn,sausage,condensed milk,root vegetables,rolls/buns,citrus fruit,pastry,shopping bags,margarine,,,,,,,,,,,,,,,,,
misc. beverages,newspapers,pork,rolls/buns,whole milk,root vegetables,napkins,whipped/sour cream,long life bakery product,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,rolls/buns,citrus fruit,butter,shopping bags,pastry,margarine,soda,UHT-milk,roll products ,,,,,,,,,,,,,,,
meat,frankfurter,specialty bar,liquor,coffee,white bread,soda,domestic eggs,frozen vegetables,,,,,,,,,,,,,,,,,
grapes,whole milk,tea,flower (seeds),frozen meals,baking powder,yogurt,white wine,cream cheese ,shopping bags,brown bread,specialty chocolate,,,,,,,,,,,,,,
bottled water,tropical fruit,frankfurter,dessert,cream cheese ,root vegetables,yogurt,margarine,softener,soda,,,,,,,,,,,,,,,,
other vegetables,soda,semi-finished bread,bottled beer,whole milk,rolls/buns,shopping bags,salty snack,,,,,,,,,,,,,,,,,,
curd,pork,sausage,yogurt,coffee,domestic eggs,whole milk,rolls/buns,pastry,shopping bags,napkins,rice,,,,,,,,,,,,,,
other vegetables,cream cheese ,pastry,oil,newspapers,brown bread,yogurt,,,,,,,,,,,,,,,,,,,
hard cheese,whole milk,sausage,shopping bags,butter,other vegetables,soda,dessert,,,,,,,,,,,,,,,,,,
herbs,other vegetables,tropical fruit,rolls/buns,root vegetables,instant coffee,citrus fruit,beef,butter milk,whole milk,fruit/vegetable juice,shopping bags,flower (seeds),brown bread,,,,,,,,,,,,
whole milk,other vegetables,nut snack,sugar,canned beer,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,citrus fruit,root vegetables,butter milk,napkins,,,,,,,,,,,,,,,,,,,,
tropical fruit,rolls/buns,pork,misc. beverages,brown bread,soft cheese,pickled vegetables,canned beer,,,,,,,,,,,,,,,,,,
pip fruit,photo/film,frankfurter,other vegetables,curd,cling film/bags,waffles,,,,,,,,,,,,,,,,,,,
tropical fruit,cat food,berries,rolls/buns,yogurt,white bread,whole milk,soda,,,,,,,,,,,,,,,,,,
chicken,other vegetables,newspapers,rolls/buns,brown bread,napkins,soups,soda,,,,,,,,,,,,,,,,,,
soda,misc. beverages,whole milk,UHT-milk,pork,spread cheese,sugar,oil,pickled vegetables,,,,,,,,,,,,,,,,,
hard cheese,meat,canned beer,soda,chicken,pork,root vegetables,whole milk,fish,whipped/sour cream,domestic eggs,coffee,white bread,,,,,,,,,,,,,
tropical fruit,brown bread,root vegetables,other vegetables,bottled beer,soda,,,,,,,,,,,,,,,,,,,,
pork,whole milk,frozen vegetables,other vegetables,yogurt,bottled water,margarine,bottled beer,pip fruit,berries,soda,shopping bags,curd,root vegetables,candy,cereals,sliced cheese,soft cheese,waffles,,,,,,,
frozen meals,soda,specialty chocolate,detergent,whole milk,canned fish,,,,,,,,,,,,,,,,,,,,
soda,pork,yogurt,sausage,root vegetables,whole milk,other vegetables,tropical fruit,shopping bags,white bread,dog food,long life bakery product,baking powder,sliced cheese,,,,,,,,,,,,
seasonal products,soda,bottled beer,frozen vegetables,chicken,yogurt,,,,,,,,,,,,,,,,,,,,
other vegetables,canned beer,pip fruit,long life bakery product,fruit/vegetable juice,sugar,berries,rolls/buns,UHT-milk,bottled water,,,,,,,,,,,,,,,,
berries,curd,pip fruit,soft cheese,pastry,,,,,,,,,,,,,,,,,,,,,
whole milk,pork,soda,curd cheese,rolls/buns,domestic eggs,frozen meals,,,,,,,,,,,,,,,,,,,
whole milk,butter,frankfurter,chicken,chewing gum,tropical fruit,grapes,ice cream,soft cheese,cake bar,rolls/buns,mustard,bottled beer,canned beer,ready soups,dish cleaner,,,,,,,,,,
root vegetables,citrus fruit,sausage,female sanitary products,other vegetables,whole milk,canned beer,rolls/buns,frozen vegetables,,,,,,,,,,,,,,,,,
whole milk,frankfurter,sausage,house keeping products,brandy,pet care,yogurt,,,,,,,,,,,,,,,,,,,
berries,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,beef,UHT-milk,curd,napkins,whole milk,frozen meals,,,,,,,,,,,,,,,,,,,
yogurt,whole milk,rolls/buns,other vegetables,citrus fruit,cream cheese ,butter,root vegetables,bottled water,,,,,,,,,,,,,,,,,
citrus fruit,frozen vegetables,soda,light bulbs,domestic eggs,,,,,,,,,,,,,,,,,,,,,
butter,shopping bags,pip fruit,domestic eggs,whole milk,yogurt,beef,chewing gum,frozen meals,tropical fruit,coffee,root vegetables,bottled beer,mustard,,,,,,,,,,,,
other vegetables,beef,yogurt,whole milk,newspapers,spread cheese,bottled beer,,,,,,,,,,,,,,,,,,,
canned beer,misc. beverages,white bread,red/blush wine,citrus fruit,coffee,yogurt,salty snack,berries,male cosmetics,fruit/vegetable juice,,,,,,,,,,,,,,,
whole milk,beef,sausage,white bread,citrus fruit,newspapers,bottled water,frozen vegetables,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,sliced cheese,root vegetables,canned vegetables,,,,,,,,,,,,,,,,,,,,,
pork,curd,frozen vegetables,beef,packaged fruit/vegetables,spices,whole milk,house keeping products,chocolate,,,,,,,,,,,,,,,,,
bottled water,root vegetables,tropical fruit,brown bread,,,,,,,,,,,,,,,,,,,,,,
coffee,rolls/buns,domestic eggs,other vegetables,,,,,,,,,,,,,,,,,,,,,,
bottled beer,frankfurter,whole milk,sweet spreads,UHT-milk,frozen vegetables,chocolate,herbs,long life bakery product,,,,,,,,,,,,,,,,,
finished products,other vegetables,soda,liquor,waffles,newspapers,rolls/buns,detergent,bottled water,whole milk,margarine,napkins,cake bar,whipped/sour cream,white bread,cleaner,bottled beer,,,,,,,,,
whole milk,citrus fruit,chicken,turkey,pork,dog food,chocolate,pip fruit,sparkling wine,rolls/buns,whipped/sour cream,soda,bottled water,shopping bags,canned beer,,,,,,,,,,,
bottled water,specialty chocolate,other vegetables,soda,onions,beverages,whipped/sour cream,brown bread,pasta,,,,,,,,,,,,,,,,,
hard cheese,bottled beer,rolls/buns,fruit/vegetable juice,margarine,specialty bar,newspapers,,,,,,,,,,,,,,,,,,,
rolls/buns,pip fruit,citrus fruit,root vegetables,soft cheese,whipped/sour cream,syrup,cling film/bags,fruit/vegetable juice,baking powder,pickled vegetables,,,,,,,,,,,,,,,
whole milk,bottled water,citrus fruit,yogurt,hamburger meat,shopping bags,beef,white wine,berries,other vegetables,brown bread,pasta,specialty chocolate,soda,chocolate,butter,oil,,,,,,,,,
whole milk,pastry,soda,tropical fruit,frozen potato products,hard cheese,other vegetables,domestic eggs,sugar,curd cheese,bottled water,,,,,,,,,,,,,,,
rolls/buns,canned beer,brown bread,dessert,,,,,,,,,,,,,,,,,,,,,,
bottled water,oil,other vegetables,tropical fruit,ice cream,chocolate,coffee,pork,shopping bags,salt,jam,,,,,,,,,,,,,,,
chicken,cereals,frozen meals,soda,napkins,,,,,,,,,,,,,,,,,,,,,
citrus fruit,white bread,frozen potato products,whole milk,,,,,,,,,,,,,,,,,,,,,,
sausage,white bread,bottled beer,root vegetables,mayonnaise,oil,whole milk,dishes,,,,,,,,,,,,,,,,,,
beef,ice cream,hamburger meat,candy,rolls/buns,butter,butter milk,shopping bags,pip fruit,whole milk,baking powder,red/blush wine,mustard,soft cheese,canned fish,,,,,,,,,,,
sausage,bottled beer,root vegetables,ham,dessert,butter,cream cheese ,domestic eggs,brown bread,other vegetables,pastry,canned beer,spread cheese,,,,,,,,,,,,,
root vegetables,beef,sweet spreads,whole milk,newspapers,,,,,,,,,,,,,,,,,,,,,
pip fruit,beef,frankfurter,ice cream,specialty bar,whole milk,canned beer,chewing gum,frozen meals,chocolate,,,,,,,,,,,,,,,,
other vegetables,white bread,whole milk,domestic eggs,canned fruit,soda,butter,detergent,,,,,,,,,,,,,,,,,,
other vegetables,soda,citrus fruit,onions,domestic eggs,shopping bags,,,,,,,,,,,,,,,,,,,,
whole milk,butter milk,other vegetables,rolls/buns,cleaner,bottled beer,soda,bottled water,,,,,,,,,,,,,,,,,,
tropical fruit,bottled beer,dessert,sliced cheese,,,,,,,,,,,,,,,,,,,,,,
root vegetables,sparkling wine,pip fruit,hamburger meat,canned beer,other vegetables,whipped/sour cream,waffles,rolls/buns,bottled beer,meat spreads,specialty chocolate,soda,bottled water,,,,,,,,,,,,
hamburger meat,citrus fruit,berries,specialty chocolate,other vegetables,white bread,,,,,,,,,,,,,,,,,,,,
butter,seasonal products,brown bread,fruit/vegetable juice,pastry,,,,,,,,,,,,,,,,,,,,,
citrus fruit,soda,root vegetables,shopping bags,,,,,,,,,,,,,,,,,,,,,,
butter,whole milk,pip fruit,coffee,soda,bottled water,napkins,pastry,honey,,,,,,,,,,,,,,,,,
whole milk,finished products,butter,soft cheese,liquor,shopping bags,,,,,,,,,,,,,,,,,,,,
mayonnaise,candy,pip fruit,rolls/buns,bottled beer,shopping bags,domestic eggs,newspapers,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,sausage,misc. beverages,whole milk,pip fruit,beef,yogurt,sliced cheese,chocolate,packaged fruit/vegetables,whipped/sour cream,brown bread,waffles,,,,,,,,,,,,
other vegetables,citrus fruit,frozen fish,specialty chocolate,napkins,newspapers,,,,,,,,,,,,,,,,,,,,
sugar,beverages,rolls/buns,canned vegetables,whole milk,grapes,flour,sausage,white bread,bottled water,popcorn,salty snack,,,,,,,,,,,,,,
candy,citrus fruit,brown bread,dessert,rolls/buns,root vegetables,detergent,canned fish,,,,,,,,,,,,,,,,,,
misc. beverages,candles,coffee,whole milk,,,,,,,,,,,,,,,,,,,,,,
soda,yogurt,curd cheese,coffee,root vegetables,rolls/buns,semi-finished bread,roll products ,oil,,,,,,,,,,,,,,,,,
sliced cheese,grapes,chicken,softener,root vegetables,whole milk,rolls/buns,soda,pip fruit,bottled beer,chocolate,yogurt,waffles,pastry,beverages,,,,,,,,,,,
yogurt,whole milk,white bread,chewing gum,oil,bottled water,ready soups,curd,,,,,,,,,,,,,,,,,,
pastry,sausage,soda,rolls/buns,tropical fruit,sugar,cat food,other vegetables,whole milk,hygiene articles,softener,candles,,,,,,,,,,,,,,
frankfurter,whole milk,ham,yogurt,pickled vegetables,shopping bags,semi-finished bread,,,,,,,,,,,,,,,,,,,
shopping bags,rolls/buns,tropical fruit,pork,misc. beverages,frozen meals,butter milk,beef,soft cheese,yogurt,bottled water,,,,,,,,,,,,,,,
sausage,ham,fruit/vegetable juice,yogurt,dessert,brown bread,long life bakery product,shopping bags,specialty cheese,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,UHT-milk,butter,specialty bar,finished products,tropical fruit,salty snack,other vegetables,yogurt,whole milk,domestic eggs,margarine,,,,,,,,,,,,,
tropical fruit,root vegetables,beef,cat food,other vegetables,domestic eggs,salt,,,,,,,,,,,,,,,,,,,
chicken,citrus fruit,domestic eggs,beef,pork,newspapers,bottled beer,fruit/vegetable juice,dessert,margarine,brown bread,,,,,,,,,,,,,,,
meat,chicken,syrup,yogurt,pip fruit,waffles,,,,,,,,,,,,,,,,,,,,
pip fruit,grapes,other vegetables,semi-finished bread,root vegetables,sliced cheese,sauces,shopping bags,yogurt,,,,,,,,,,,,,,,,,
turkey,whole milk,canned beer,soda,root vegetables,pastry,citrus fruit,onions,specialty fat,brown bread,bottled water,napkins,tropical fruit,long life bakery product,,,,,,,,,,,,
whole milk,citrus fruit,dog food,grapes,sugar,pastry,bottled water,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,tropical fruit,sausage,meat,citrus fruit,pork,fruit/vegetable juice,yogurt,rolls/buns,candles,frozen meals,cling film/bags,curd,butter,frozen fish,,,,,,,,,,
canned beer,red/blush wine,brown bread,instant coffee,,,,,,,,,,,,,,,,,,,,,,
pastry,frankfurter,rolls/buns,specialty chocolate,canned beer,sausage,napkins,waffles,ice cream,onions,rice,margarine,pasta,butter milk,dental care,chocolate,,,,,,,,,,
sugar,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,canned beer,onions,coffee,,,,,,,,,,,,,,,,,,,,,,
ham,citrus fruit,packaged fruit/vegetables,rum,butter,flour,semi-finished bread,UHT-milk,yogurt,,,,,,,,,,,,,,,,,
sausage,UHT-milk,specialty chocolate,cooking chocolate,,,,,,,,,,,,,,,,,,,,,,
photo/film,dessert,shopping bags,whole milk,pastry,butter milk,white bread,sliced cheese,brown bread,bottled beer,rolls/buns,soda,jam,curd,other vegetables,seasonal products,detergent,flour,,,,,,,,
